,0
KOZAA,4028e4a2422d9a6e0142bd921d307a6d
KOZAL,4028e4a2422d9a6e0142bd91d3687a69
KTLEV,8acae2c5830502c20185a9e2e5ac488b
KTSVK,8acae2c45a97ffbc015b1e02e5033b72
KUYAS,4028e4a241a25fd60141a2bf974c04e8
KZBGY,8acae2c5794d3d66017aadf2b6b719cb
LIDER,8acae2c5570aaa2b0157be3a3ef749af
LINK,4028e4a2422d9a6e01428f2d3d020b61
LOGO,4028e4a14158e41e01415b41210a6e8c
LYDHO,4028e4a240f2ef4701411763ed38047c
MAGEN,8acae2c47afb298a017bf270b76b78f1
MAVI,4028e4a141733b5101417ea9aae11fec
MEGMT,8acae2c5594ca644015964a5bef50e57
MEPET,4028e4a1416e696301416ea253f418ae
MIATK,8acae2c47afb298a017cbcef284245ba
MOGAN,8acae2c473646c5e0173e77f33b35138
MPARK,4028e4a1462cc5dd01465c9550782baa
NATEN,8acae2c469cee2a2016bb6c259155c47
NISRA,8acae2c56faf888c01727fb8b0696b5a
NTTUR,4028e4a140f2ed7101412ba1b0770353
NUHCM,4028e4a141558bdd014156053d9f04b2
ODAS,4028e4a2416e696c01416edd70713183
OPET,4028e4a240e95dc30140ee34335300e8
OTKAR,4028e4a140ee35c70140ee4316b3001d
OYAKC,4028e4a140f2ed720140f32377aa016c
OZKGY,4028e4a140f2ed720141079632d0024f
PARSN,4028e4a140ee84900140f1ecef250011
